class_date,level_category,language,course_type,q_predicted
2018-02-27 16:00:00,True Beginner,Spanish,Live,31
2018-02-27 16:30:00,True Beginner,Spanish,Live,31
2018-02-27 17:00:00,True Beginner,Spanish,Live,33
2018-02-27 17:30:00,True Beginner,Spanish,Live,36
2018-02-27 18:00:00,True Beginner,Spanish,Live,41
2018-02-27 18:30:00,True Beginner,Spanish,Live,42
2018-02-27 19:00:00,True Beginner,Spanish,Live,47
2018-02-27 19:30:00,True Beginner,Spanish,Live,53
2018-02-27 20:00:00,True Beginner,Spanish,Live,60
2018-02-27 20:30:00,True Beginner,Spanish,Live,64
2018-02-27 21:00:00,True Beginner,Spanish,Live,69
2018-02-27 21:30:00,True Beginner,Spanish,Live,70
2018-02-27 22:00:00,True Beginner,Spanish,Live,70
2018-02-27 22:30:00,True Beginner,Spanish,Live,64
2018-02-27 23:00:00,True Beginner,Spanish,Live,53
2018-02-27 23:30:00,True Beginner,Spanish,Live,41
2018-02-28 00:00:00,True Beginner,Spanish,Live,26
2018-02-28 00:30:00,True Beginner,Spanish,Live,16
2018-02-28 01:00:00,True Beginner,Spanish,Live,11
2018-02-28 01:30:00,True Beginner,Spanish,Live,5
2018-02-28 02:00:00,True Beginner,Spanish,Live,3
2018-02-28 02:30:00,True Beginner,Spanish,Live,2
2018-02-28 03:00:00,True Beginner,Spanish,Live,0
2018-02-28 03:30:00,True Beginner,Spanish,Live,0
2018-02-28 04:00:00,True Beginner,Spanish,Live,1
2018-02-28 04:30:00,True Beginner,Spanish,Live,1
2018-02-28 05:00:00,True Beginner,Spanish,Live,2
2018-02-28 05:30:00,True Beginner,Spanish,Live,2
2018-02-28 06:00:00,True Beginner,Spanish,Live,3
2018-02-28 06:30:00,True Beginner,Spanish,Live,5
2018-02-28 07:00:00,True Beginner,Spanish,Live,5
2018-02-28 07:30:00,True Beginner,Spanish,Live,7
2018-02-28 08:00:00,True Beginner,Spanish,Live,9
2018-02-28 08:30:00,True Beginner,Spanish,Live,11
2018-02-28 09:00:00,True Beginner,Spanish,Live,18
2018-02-28 09:30:00,True Beginner,Spanish,Live,18
2018-02-28 10:00:00,True Beginner,Spanish,Live,21
2018-02-28 10:30:00,True Beginner,Spanish,Live,22
2018-02-28 11:00:00,True Beginner,Spanish,Live,23
2018-02-28 11:30:00,True Beginner,Spanish,Live,22
2018-02-28 12:00:00,True Beginner,Spanish,Live,23
2018-02-28 12:30:00,True Beginner,Spanish,Live,23
2018-02-28 13:00:00,True Beginner,Spanish,Live,22
2018-02-28 13:30:00,True Beginner,Spanish,Live,25
2018-02-28 14:00:00,True Beginner,Spanish,Live,24
2018-02-28 14:30:00,True Beginner,Spanish,Live,25
2018-02-28 15:00:00,True Beginner,Spanish,Live,27
2018-02-28 15:30:00,True Beginner,Spanish,Live,29
2018-02-28 16:00:00,True Beginner,Spanish,Live,32
2018-02-28 16:30:00,True Beginner,Spanish,Live,32
2018-02-28 17:00:00,True Beginner,Spanish,Live,33
2018-02-28 17:30:00,True Beginner,Spanish,Live,35
2018-02-28 18:00:00,True Beginner,Spanish,Live,38
2018-02-28 18:30:00,True Beginner,Spanish,Live,41
2018-02-28 19:00:00,True Beginner,Spanish,Live,44
2018-02-28 19:30:00,True Beginner,Spanish,Live,47
2018-02-28 20:00:00,True Beginner,Spanish,Live,55
2018-02-28 20:30:00,True Beginner,Spanish,Live,57
2018-02-28 21:00:00,True Beginner,Spanish,Live,63
2018-02-28 21:30:00,True Beginner,Spanish,Live,66
2018-02-28 22:00:00,True Beginner,Spanish,Live,63
2018-02-28 22:30:00,True Beginner,Spanish,Live,57
2018-02-28 23:00:00,True Beginner,Spanish,Live,49
2018-02-28 23:30:00,True Beginner,Spanish,Live,36
2018-03-01 00:00:00,True Beginner,Spanish,Live,23
2018-03-01 00:30:00,True Beginner,Spanish,Live,13
2018-03-01 01:00:00,True Beginner,Spanish,Live,10
2018-03-01 01:30:00,True Beginner,Spanish,Live,5
2018-03-01 02:00:00,True Beginner,Spanish,Live,3
2018-03-01 02:30:00,True Beginner,Spanish,Live,1
2018-03-01 03:00:00,True Beginner,Spanish,Live,1
2018-03-01 03:30:00,True Beginner,Spanish,Live,0
2018-03-01 04:00:00,True Beginner,Spanish,Live,0
2018-03-01 04:30:00,True Beginner,Spanish,Live,1
2018-03-01 05:00:00,True Beginner,Spanish,Live,1
2018-03-01 05:30:00,True Beginner,Spanish,Live,3
2018-03-01 06:00:00,True Beginner,Spanish,Live,3
2018-03-01 06:30:00,True Beginner,Spanish,Live,5
2018-03-01 07:00:00,True Beginner,Spanish,Live,6
2018-03-01 07:30:00,True Beginner,Spanish,Live,7
2018-03-01 08:00:00,True Beginner,Spanish,Live,9
2018-03-01 08:30:00,True Beginner,Spanish,Live,12
2018-03-01 09:00:00,True Beginner,Spanish,Live,14
2018-03-01 09:30:00,True Beginner,Spanish,Live,15
2018-03-01 10:00:00,True Beginner,Spanish,Live,18
2018-03-01 10:30:00,True Beginner,Spanish,Live,19
2018-03-01 11:00:00,True Beginner,Spanish,Live,22
2018-03-01 11:30:00,True Beginner,Spanish,Live,22
2018-03-01 12:00:00,True Beginner,Spanish,Live,22
2018-03-01 12:30:00,True Beginner,Spanish,Live,21
2018-03-01 13:00:00,True Beginner,Spanish,Live,21
2018-03-01 13:30:00,True Beginner,Spanish,Live,21
2018-03-01 14:00:00,True Beginner,Spanish,Live,23
2018-03-01 14:30:00,True Beginner,Spanish,Live,25
2018-03-01 15:00:00,True Beginner,Spanish,Live,26
2018-03-01 15:30:00,True Beginner,Spanish,Live,28
2018-03-01 16:00:00,True Beginner,Spanish,Live,31
2018-03-01 16:30:00,True Beginner,Spanish,Live,29
2018-03-01 17:00:00,True Beginner,Spanish,Live,31
2018-03-01 17:30:00,True Beginner,Spanish,Live,34
2018-03-01 18:00:00,True Beginner,Spanish,Live,36
2018-03-01 18:30:00,True Beginner,Spanish,Live,38
2018-03-01 19:00:00,True Beginner,Spanish,Live,42
2018-03-01 19:30:00,True Beginner,Spanish,Live,46
2018-03-01 20:00:00,True Beginner,Spanish,Live,54
2018-03-01 20:30:00,True Beginner,Spanish,Live,57
2018-03-01 21:00:00,True Beginner,Spanish,Live,61
2018-03-01 21:30:00,True Beginner,Spanish,Live,61
2018-03-01 22:00:00,True Beginner,Spanish,Live,60
2018-03-01 22:30:00,True Beginner,Spanish,Live,52
2018-03-01 23:00:00,True Beginner,Spanish,Live,46
2018-03-01 23:30:00,True Beginner,Spanish,Live,34
2018-03-02 00:00:00,True Beginner,Spanish,Live,21
2018-03-02 00:30:00,True Beginner,Spanish,Live,13
2018-03-02 01:00:00,True Beginner,Spanish,Live,8
2018-03-02 01:30:00,True Beginner,Spanish,Live,4
2018-03-02 02:00:00,True Beginner,Spanish,Live,3
2018-03-02 02:30:00,True Beginner,Spanish,Live,2
2018-03-02 03:00:00,True Beginner,Spanish,Live,1
2018-03-02 03:30:00,True Beginner,Spanish,Live,0
2018-03-02 04:00:00,True Beginner,Spanish,Live,1
2018-03-02 04:30:00,True Beginner,Spanish,Live,1
2018-03-02 05:00:00,True Beginner,Spanish,Live,1
2018-03-02 05:30:00,True Beginner,Spanish,Live,1
2018-03-02 06:00:00,True Beginner,Spanish,Live,2
2018-03-02 06:30:00,True Beginner,Spanish,Live,4
2018-03-02 07:00:00,True Beginner,Spanish,Live,5
2018-03-02 07:30:00,True Beginner,Spanish,Live,6
2018-03-02 08:00:00,True Beginner,Spanish,Live,8
2018-03-02 08:30:00,True Beginner,Spanish,Live,10
2018-03-02 09:00:00,True Beginner,Spanish,Live,15
2018-03-02 09:30:00,True Beginner,Spanish,Live,15
2018-03-02 10:00:00,True Beginner,Spanish,Live,19
2018-03-02 10:30:00,True Beginner,Spanish,Live,19
2018-03-02 11:00:00,True Beginner,Spanish,Live,20
2018-03-02 11:30:00,True Beginner,Spanish,Live,20
2018-03-02 12:00:00,True Beginner,Spanish,Live,21
2018-03-02 12:30:00,True Beginner,Spanish,Live,21
2018-03-02 13:00:00,True Beginner,Spanish,Live,21
