class_date,course_type,level_category,language,predicted_q
2018-02-26 07:30:00.000,Live,High Beginner,Spanish,1
2018-02-26 07:30:00.000,Private,Intermediate,Spanish,1
2018-02-26 07:30:00.000,Live,Intermediate,Portuguese,2
2018-02-26 07:30:00.000,Private,True Beginner,Portuguese,0
2018-02-26 07:30:00.000,Live,True Beginner,Portuguese,2
2018-02-26 07:30:00.000,Live,Intermediate,Spanish,4
2018-02-26 07:30:00.000,Private,High Beginner,Portuguese,1
2018-02-26 07:30:00.000,Private,True Beginner,Spanish,1
2018-02-26 07:30:00.000,Live,True Beginner,Spanish,4
2018-02-26 07:30:00.000,Private,High Beginner,Spanish,1
2018-02-26 07:30:00.000,Live,High Beginner,Portuguese,2
2018-02-26 08:00:00.000,Live,High Beginner,Portuguese,3
2018-02-26 08:00:00.000,Private,High Beginner,Spanish,1
2018-02-26 08:00:00.000,Live,True Beginner,Spanish,5
2018-02-26 08:00:00.000,Private,True Beginner,Spanish,1
2018-02-26 08:00:00.000,Private,High Beginner,Portuguese,1
2018-02-26 08:00:00.000,Live,Intermediate,Spanish,5
2018-02-26 08:00:00.000,Live,True Beginner,Portuguese,2
2018-02-26 08:00:00.000,Private,True Beginner,Portuguese,2
2018-02-26 08:00:00.000,Live,Intermediate,Portuguese,1
2018-02-26 08:00:00.000,Private,Intermediate,Spanish,1
2018-02-26 08:00:00.000,Live,High Beginner,Spanish,6
2018-02-26 08:00:00.000,Private,Intermediate,Portuguese,0
2018-02-26 08:30:00.000,Private,Intermediate,Portuguese,0
2018-02-26 08:30:00.000,Live,High Beginner,Spanish,6
2018-02-26 08:30:00.000,Private,Intermediate,Spanish,1
2018-02-26 08:30:00.000,Live,Intermediate,Portuguese,1
2018-02-26 08:30:00.000,Private,True Beginner,Portuguese,0
2018-02-26 08:30:00.000,Live,True Beginner,Portuguese,2
2018-02-26 08:30:00.000,Live,Intermediate,Spanish,5
2018-02-26 08:30:00.000,Private,High Beginner,Portuguese,1
2018-02-26 08:30:00.000,Private,True Beginner,Spanish,1
2018-02-26 08:30:00.000,Live,True Beginner,Spanish,9
2018-02-26 08:30:00.000,Private,High Beginner,Spanish,2
2018-02-26 08:30:00.000,Live,High Beginner,Portuguese,3
2018-02-26 09:00:00.000,Live,High Beginner,Portuguese,2
2018-02-26 09:00:00.000,Private,High Beginner,Spanish,1
2018-02-26 09:00:00.000,Live,True Beginner,Spanish,12
2018-02-26 09:00:00.000,Private,True Beginner,Spanish,1
2018-02-26 09:00:00.000,Private,High Beginner,Portuguese,1
2018-02-26 09:00:00.000,Live,Intermediate,Spanish,9
2018-02-26 09:00:00.000,Live,True Beginner,Portuguese,3
2018-02-26 09:00:00.000,Private,True Beginner,Portuguese,0
2018-02-26 09:00:00.000,Live,Intermediate,Portuguese,2
2018-02-26 09:00:00.000,Private,Intermediate,Spanish,1
