class_date,q_avg_14,q_current,peak_month,type,level_category,language,course_type,q_predicted
2018-02-26 15:00:00,24,0,1,1,True Beginner,Spanish,Live,27.0
2018-02-26 15:30:00,22,0,1,1,True Beginner,Spanish,Live,29.0
2018-02-26 16:00:00,26,0,1,1,True Beginner,Spanish,Live,33.0
2018-02-26 16:30:00,26,0,1,1,True Beginner,Spanish,Live,32.0
2018-02-26 17:00:00,29,0,1,1,True Beginner,Spanish,Live,34.0
2018-02-26 17:30:00,27,0,1,1,True Beginner,Spanish,Live,35.0
2018-02-26 18:00:00,33,0,1,1,True Beginner,Spanish,Live,39.0
2018-02-26 18:30:00,35,0,1,1,True Beginner,Spanish,Live,44.0
2018-02-26 19:00:00,41,0,1,1,True Beginner,Spanish,Live,47.0
2018-02-26 19:30:00,42,0,1,1,True Beginner,Spanish,Live,52.0
2018-02-26 20:00:00,52,0,1,1,True Beginner,Spanish,Live,60.0
2018-02-26 20:30:00,54,0,1,1,True Beginner,Spanish,Live,65.0
2018-02-26 21:00:00,61,0,1,1,True Beginner,Spanish,Live,70.0
2018-02-26 21:30:00,59,0,1,1,True Beginner,Spanish,Live,70.0
2018-02-26 22:00:00,53,0,1,1,True Beginner,Spanish,Live,68.0
2018-02-26 22:30:00,45,0,1,1,True Beginner,Spanish,Live,55.0
2018-02-26 23:00:00,33,0,1,1,True Beginner,Spanish,Live,42.0
2018-02-26 23:30:00,29,0,1,1,True Beginner,Spanish,Live,30.0
2018-02-27 00:00:00,17,0,1,1,True Beginner,Spanish,Live,27.0
2018-02-27 00:30:00,9,0,1,1,True Beginner,Spanish,Live,16.0
2018-02-27 01:00:00,6,0,1,1,True Beginner,Spanish,Live,11.0
2018-02-27 01:30:00,3,0,1,1,True Beginner,Spanish,Live,4.0
2018-02-27 02:00:00,2,0,1,1,True Beginner,Spanish,Live,4.0
2018-02-27 02:30:00,1,0,1,1,True Beginner,Spanish,Live,1.0
2018-02-27 03:00:00,0,0,1,1,True Beginner,Spanish,Live,0.0
2018-02-27 03:30:00,1,0,1,1,True Beginner,Spanish,Live,1.0
2018-02-27 04:00:00,1,0,1,1,True Beginner,Spanish,Live,1.0
2018-02-27 04:30:00,1,0,1,1,True Beginner,Spanish,Live,1.0
2018-02-27 05:00:00,2,0,1,1,True Beginner,Spanish,Live,2.0
2018-02-27 05:30:00,2,0,1,1,True Beginner,Spanish,Live,2.0
2018-02-27 06:00:00,3,0,1,1,True Beginner,Spanish,Live,4.0
2018-02-27 06:30:00,5,0,1,1,True Beginner,Spanish,Live,5.0
2018-02-27 07:00:00,5,0,1,1,True Beginner,Spanish,Live,6.0
2018-02-27 07:30:00,8,0,1,1,True Beginner,Spanish,Live,8.0
2018-02-27 08:00:00,8,0,1,1,True Beginner,Spanish,Live,9.0
2018-02-27 08:30:00,10,0,1,1,True Beginner,Spanish,Live,12.0
2018-02-27 09:00:00,15,0,1,1,True Beginner,Spanish,Live,19.0
2018-02-27 09:30:00,14,0,1,1,True Beginner,Spanish,Live,20.0
2018-02-27 10:00:00,17,0,1,1,True Beginner,Spanish,Live,23.0
2018-02-27 10:30:00,14,0,1,1,True Beginner,Spanish,Live,22.0
2018-02-27 11:00:00,18,0,1,1,True Beginner,Spanish,Live,24.0
2018-02-27 11:30:00,16,0,1,1,True Beginner,Spanish,Live,23.0
2018-02-27 12:00:00,18,0,1,1,True Beginner,Spanish,Live,25.0
2018-02-27 12:30:00,18,0,1,1,True Beginner,Spanish,Live,25.0
2018-02-27 13:00:00,20,0,1,1,True Beginner,Spanish,Live,26.0
2018-02-27 13:30:00,20,0,1,1,True Beginner,Spanish,Live,25.0
2018-02-27 14:00:00,21,0,1,1,True Beginner,Spanish,Live,25.0
