ps,ps,ps,ps,ps,i,i,i,off,off,lc,bc,i,pc,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ls,bc,off,ls,bc,ls,bc,off,off,pc,pp,pc,pp,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,pc,ls,bc,lc,bc,ls,bc,ls,bc,pc,pc,pc,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,i,ls,bc,lc,bc,ls,bc,ls,bc,off,pc,pc,pc,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,off,off,lc,bc,i,pp,pc,pc,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,pc,pc,pc,ls,bc,i,lc,bc,i,i,pc,pc,pc,pc,pc,ps,pc,pc,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,pc,pc,pc,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps
lc,bc,i,i,off,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,pc,i,pc,pc,pc,pc,pc,pc,pc,ls,bc,i,lc,bc,i,i,off,off,off,off,off,off,off,off,off,off,lc,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,off,pc,pc,pc,pc,pc,pc,ls,bc,ls,bc,lc,bc,off,off,off,off,off,off,off,off,off,off,lc,bc,lp,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,i,pc,pc,pc,pc,pc,ls,bc,ls,bc,off,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lp,bc,off,lc,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,pc,ls,bc,pc,pc,ls,bc,i,ls,bc,lc,bc,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,off,off,off,lp,bc,lp,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,i,i,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,off,off,off,lp,bc,lp,bc,ls,bc,ls,bc,ls,bc,ls,bc,off,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,lc,bc,i,i,off,off,off,off,off,off,off,off,off,off,off,off,off,off,lp,bc,lp,bc,off,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc
lc,bc,i,i,off,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,ls,bc,off,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,pc,pc,pc,pc,pc,pc,ls,bc,ls,bc,lc,bc,i,i,off,off,off,off,off,off,off,off,lp,bc,lp,bc,lc,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,i,pc,pc,pc,pc,pc,ls,bc,ls,bc,lc,bc,i,i,off,off,off,off,off,off,off,off,off,lc,bc,lp,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,i,pc,pc,pc,ls,bc,ls,bc,lc,bc,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,off,lp,bc,lp,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,lc,bc,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,lc,bc,lc,bc,off,lc,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,lc,bc,off,off,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,off,lp,bc,lp,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,lc,bc,i,i,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,off,off,lp,bc,lp,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc
lc,bc,i,i,off,off,off,off,off,off,off,off,off,off,lp,bc,lp,bc,off,off,off,lc,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,off,pc,pc,ls,bc,ls,bc,ls,bc,lc,bc,i,i,off,off,off,off,off,off,off,off,off,lp,bc,lp,bc,off,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,i,pc,ls,bc,ls,bc,ls,bc,i,i,off,off,off,off,off,off,off,off,lc,bc,lc,bc,lc,bc,lp,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,pc,pc,pc,ls,bc,i,ls,bc,i,i,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,off,off,lp,bc,lp,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,lc,bc,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,off,off,off,lc,bc,lp,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,lc,bc,lc,bc,i,i,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,lc,bc,lc,bc,lp,bc,lp,bc,off,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,off,lc,bc,lp,bc,off,ls,bc,lc,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc
lc,bc,i,i,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lp,bc,lp,bc,lp,bc,off,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,i,i,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lp,bc,lc,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,off,ls,bc,lc,bc,off,off,off,off,off,off,off,off,lc,bc,lc,bc,lc,bc,lp,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,lc,bc,i,i,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,lc,bc,lc,bc,lp,bc,lp,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,lc,bc,off,off,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,lc,bc,lc,bc,lp,bc,lp,bc,off,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,lc,bc,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,off,off,off,lc,bc,lp,bc,lc,bc,ls,bc,ls,bc,ls,bc,off,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,lc,bc,i,i,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,off,off,off,lc,bc,lp,bc,lp,bc,lp,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls
lc,bc,i,i,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,lp,bc,lp,bc,lc,bc,ls,bc,off,ls,bc,lc,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,i,i,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,off,off,lp,bc,lp,bc,off,lc,bc,ls,bc,off,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,i,i,off,off,off,off,off,off,off,off,lc,bc,lc,bc,lc,bc,lc,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,lc,bc,i,i,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,lc,bc,lc,bc,off,lp,bc,lp,bc,off,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,lc,bc,i,i,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,off,off,off,lc,bc,lp,bc,lp,bc,lp,bc,off,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,lc,bc,i,i,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,lc,bc,lc,bc,off,lc,bc,lp,bc,off,ls,bc,lc,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,lc,bc,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,off,off,off,lc,bc,lp,bc,off,lc,bc,ls,bc,off,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,lp,bc
off,off,off,lc,bc,i,i,off,off,off,off,off,off,off,lc,bc,lc,bc,off,off,lc,bc,lp,bc,lp,bc,lp,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,i,i,off,off,off,off,off,off,off,off,off,lc,bc,i,i,off,lc,bc,lp,bc,lp,bc,lp,bc,ls,bc,lc,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,lc,bc,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,off,off,off,ls,bc,ls,bc,lc,bc,ls,bc,off,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,off,off,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lp,bc,off,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,lc,bc,i,i,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lp,bc,lp,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,lc,bc,i,i,off,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,ls,bc,off,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,lp,bc,lc,bc,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,lc,bc,lc,bc,off,off,off,lp,bc,lp,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,lc,bc
off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,off,lp,bc,lp,bc,off,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,lc,bc,i,i,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,off,lc,bc,lp,bc,lc,bc,ls,bc,off,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,lc,bc,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lp,bc,lp,bc,lp,bc,lp,bc,lp,bc,off,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,lc,bc,off,off,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lp,bc,off,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,lc,bc,off,off,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,off,lc,bc,lp,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,lc,bc,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,lc,bc,lc,bc,off,off,off,lp,bc,lp,bc,lc,bc,ls,bc,off,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,lc,bc,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,off,off,lp,bc,lp,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,lc
off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,off,off,off,lc,bc,lp,bc,off,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,lc,bc,off,off,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,off,off,off,lc,bc,lp,bc,lp,bc,lp,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,lc,bc,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,lc,bc,lp,bc,lp,bc,lp,bc,lp,bc,lp,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,off,lp,bc,i,i,off,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,ls,bc,off,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,lc,bc,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,off,off,off,lp,bc,lp,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,lc,bc,i,i,off,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lp,bc,lp,bc,lp,bc,lp,bc,ls,bc,ls,bc,off,ls,bc,ls,bc,lc,bc,i,i,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lp,bc,off,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,lc
off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lp,bc,off,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,i,i,off,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,lc,bc,lc,bc,off,off,lp,bc,lp,bc,off,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,lc,bc,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,off,lc,bc,lp,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,lc,bc,i,i,off,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,lc,bc,lc,bc,off,lc,bc,lp,bc,lc,bc,ls,bc,off,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,lc,bc,off,off,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lp,bc,lp,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,lc,bc,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lp,bc,lp,bc,lp,bc,ls,bc,lc,bc,off,ls,bc,ls,bc,lc,bc,i,i,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lp,bc,lp,bc,ls,bc,ls,bc,ls,bc,ls,bc,lc,bc
off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lp,bc,lc,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,off,ls,bc,i,i,off,off,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,off,lp,bc,lp,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,lc,bc,off,off,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,off,lc,bc,lp,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,lc,bc,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,lc,bc,lc,bc,off,off,lc,bc,lp,bc,lp,bc,lp,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,i,i,off,off,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,lc,bc,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,off,lc,bc,lp,bc,lp,bc,lp,bc,ls,bc,lc,bc,lc,bc,i,i,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lp,bc,lp,bc,ls,bc,ls,bc,ls,bc,ls,bc,lc
off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,lc,bc,lc,bc,off,off,off,lp,bc,lp,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,off,off,lp,bc,lp,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,lc,bc,off,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,off,off,lc,bc,lp,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,lc,bc,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lp,bc,lp,bc,off,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,i,i,off,off,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,off,lc,bc,lp,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,i,i,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,off,lc,bc,lp,bc,lp,bc,lp,bc,lp,bc,lc,bc,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lp,bc,off,ls,bc,ls,bc,lp,bc,lc
off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,lc,bc,lc,bc,off,off,off,lp,bc,lp,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,off,ls,bc,i,i,off,off,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,lc,bc,i,i,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,lc,bc,i,i,off,off,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,off,off,lc,bc,lp,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,lc,bc,i,i,off,off,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,off,lc,bc,lp,bc,ls,bc,ls,bc,ls,bc,lc,bc,lc,bc,i,i,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lp,bc,lp,bc,lc,bc,i,i,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,off,lc,bc,lp,bc,ls,bc,ls,bc,lc,bc,i
off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lp,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,lc,bc,i,i,off,off,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,off,lp,bc,lp,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,lc,bc,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,off,off,off,lc,bc,lp,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,lc,bc,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,off,off,lc,bc,lp,bc,off,ls,bc,ls,bc,lc,bc,lc,bc,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,off,off,off,lc,bc,ls,bc,lp,bc,lc,bc,off
off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lp,bc,off,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,lc,bc,lc,bc,i,i,off,off,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,off,off,lc,bc,lp,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,lc,bc,i,i,off,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,off,off,off,lc,bc,lp,bc,off,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,lc,bc,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,off,off,lc,bc,lp,bc,off,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,i,i,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,off,off,lc,bc,lp,bc,off,ls,bc,ls,bc,lc,bc,i,i,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,off,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,off,off,lc,bc,ls,bc,off,lp,bc,lc,bc
