date, tbs, tbp, cla 
1/1/2018 0:00,12,3,9
1/1/2018 0:30,1,0,4
1/1/2018 1:00,0,0,0
1/1/2018 1:30,0,0,0
1/1/2018 2:00,1,0,1
1/1/2018 2:30,3,2,4
1/1/2018 3:00,0,0,0
1/1/2018 3:30,0,0,0
1/1/2018 4:00,0,0,1
1/1/2018 4:30,1,0,1
1/1/2018 5:00,1,0,1
1/1/2018 5:30,0,1,1
1/1/2018 6:00,1,1,1
1/1/2018 6:30,2,0,3
1/1/2018 7:00,2,0,0
1/1/2018 7:30,0,1,2
1/1/2018 8:00,2,2,2
1/1/2018 8:30,4,0,5
1/1/2018 9:00,1,0,7
1/1/2018 9:30,1,1,5
1/1/2018 10:00,2,1,3
1/1/2018 10:30,5,1,4
1/1/2018 11:00,2,1,7
1/1/2018 11:30,2,1,6
1/1/2018 12:00,5,0,3
1/1/2018 12:30,3,1,6
1/1/2018 13:00,2,1,9
1/1/2018 13:30,1,1,5
1/1/2018 14:00,5,2,3
1/1/2018 14:30,8,1,4
1/1/2018 15:00,6,1,5
1/1/2018 15:30,1,0,8
1/1/2018 16:00,7,1,10
1/1/2018 16:30,5,1,4
1/1/2018 17:00,6,1,4
1/1/2018 17:30,4,2,11
1/1/2018 18:00,4,3,14
1/1/2018 18:30,4,2,8
1/1/2018 19:00,6,0,8
1/1/2018 19:30,5,2,12
1/1/2018 20:00,7,3,16
1/1/2018 20:30,7,1,8
1/1/2018 21:00,8,0,6
1/1/2018 21:30,8,0,13
1/1/2018 22:00,10,1,17
1/1/2018 22:30,6,1,10
1/1/2018 23:00,6,2,5
1/1/2018 23:30,1,2,8
1/2/2018 0:00,9,2,7
1/2/2018 0:30,3,1,4
1/2/2018 1:00,2,0,4
1/2/2018 1:30,0,0,1
1/2/2018 2:00,1,0,1
1/2/2018 2:30,3,2,3
1/2/2018 3:00,0,0,0
1/2/2018 3:30,0,0,0
1/2/2018 4:00,0,0,1
1/2/2018 4:30,1,0,1
1/2/2018 5:00,2,0,0
1/2/2018 5:30,1,1,0
1/2/2018 6:00,1,1,0
1/2/2018 6:30,2,1,1
1/2/2018 7:00,0,1,2
1/2/2018 7:30,1,0,5
1/2/2018 8:00,4,1,1
1/2/2018 8:30,4,1,1
1/2/2018 9:00,0,1,7
1/2/2018 9:30,1,1,8
1/2/2018 10:00,3,0,3
1/2/2018 10:30,6,1,1
1/2/2018 11:00,2,1,7
1/2/2018 11:30,0,1,10
1/2/2018 12:00,4,0,4
1/2/2018 12:30,5,1,1
1/2/2018 13:00,2,1,8
1/2/2018 13:30,0,1,10
1/2/2018 14:00,2,2,3
1/2/2018 14:30,9,1,1
1/2/2018 15:00,6,1,6
1/2/2018 15:30,1,2,11
1/2/2018 16:00,4,0,8
1/2/2018 16:30,6,2,0
1/2/2018 17:00,6,1,6
1/2/2018 17:30,4,2,10
1/2/2018 18:00,2,3,11
1/2/2018 18:30,5,2,6
1/2/2018 19:00,7,1,8
